key_id,doc_id,rel
1000001,1000001,keyword
1000001,1000236,keyword
1000001,1001111,keyword
1000001,1001112,keyword
1000001,1005240,keyword
1000001,1009085,keyword
1000001,1009419,keyword
1000001,1011834,keyword
1000001,1012334,keyword
1000001,1012466,keyword
1000001,1012479,keyword
1000001,1012595,keyword
1000001,1013909,keyword
1000001,1019016,keyword
1000001,1021084,keyword
1000001,1022939,keyword
1000002,1000003,keyword
1000002,1001611,keyword
1000002,1005333,keyword
1000002,1005340,keyword
1000002,1005341,keyword
1000003,1000003,keyword
1000003,1001611,keyword
1000003,1005333,keyword
1000003,1005340,keyword
1000003,1005341,keyword
1000003,1013053,keyword
1000004,1000003,keyword
1000004,1001611,keyword
1000004,1005333,keyword
1000004,1005340,keyword
1000004,1005341,keyword
1000004,1013053,keyword
1000005,1000003,keyword
1000005,1001611,keyword
1000005,1005333,keyword
1000005,1005340,keyword
1000005,1005341,keyword
1000005,1013053,keyword
1000006,1000003,keyword
1000006,1001611,keyword
1000006,1005333,keyword
1000006,1005340,keyword
1000006,1005341,keyword
1000006,1013053,keyword
1000007,1000005,keyword
1000007,1001036,keyword
1000007,1017373,keyword
1000007,1018360,keyword
1000007,1018867,keyword
1000007,1018875,keyword
1000007,1031660,keyword
1000007,1033728,keyword
1000007,1036724,keyword
1000007,1038563,keyword
1000007,1038822,keyword
1000008,1000008,keyword
1000008,1002869,keyword
1000008,1004445,keyword
1000008,1004855,keyword
1000008,1005288,keyword
1000008,1005498,keyword
1000008,1018002,keyword
1000008,1029401,keyword
1000008,1029402,keyword
1000008,1029403,keyword
1000008,1029404,keyword
1000008,1029405,keyword
1000008,1029406,keyword
1000008,1029407,keyword
1000008,1029408,keyword
1000008,1029409,keyword
1000008,1029410,keyword
1000008,1029411,keyword
1000008,1029412,keyword
1000008,1029413,keyword
1000008,1029414,keyword
1000008,1029415,keyword
1000008,1029416,keyword
1000008,1029417,keyword
1000008,1029418,keyword
1000008,1029419,keyword
1000008,1029420,keyword
1000008,1029421,keyword
1000009,1000008,keyword
1000009,1000406,keyword
1000009,1000684,keyword
1000009,1000700,keyword
1000009,1000725,keyword
1000009,1000971,keyword
1000009,1000972,keyword
1000009,1001045,keyword
1000009,1001229,keyword
1000009,1001250,keyword
1000009,1001310,keyword
1000009,1001718,keyword
1000009,1002352,keyword
1000009,1002822,keyword
1000009,1002852,keyword
1000009,1002867,keyword
1000009,1002869,keyword
1000009,1002871,keyword
1000009,1003453,keyword
1000009,1004138,keyword
1000009,1004147,keyword
1000009,1004569,keyword
1000009,1004855,keyword
1000009,1004949,keyword
1000009,1005075,keyword
1000009,1005318,keyword
1000009,1005319,keyword
1000009,1005320,keyword
1000009,1005321,keyword
1000009,1005498,keyword
1000009,1006114,keyword
1000009,1006150,keyword
1000009,1006305,keyword
1000009,1006368,keyword
1000009,1006451,keyword
1000009,1006523,keyword
1000009,1006621,keyword
1000009,1006781,keyword
1000009,1006855,keyword
1000009,1006869,keyword
1000009,1006870,keyword
1000009,1007101,keyword
1000009,1007113,keyword
1000009,1007728,keyword
1000009,1007881,keyword
1000009,1007952,keyword
1000009,1008184,keyword
1000009,1009682,keyword
1000009,1011563,keyword
1000009,1011564,keyword
1000009,1011614,keyword
1000009,1011686,keyword
1000009,1011902,keyword
1000009,1011913,keyword
1000009,1011955,keyword
1000009,1012162,keyword
1000009,1012164,keyword
1000009,1013129,keyword
1000009,1013135,keyword
1000009,1013273,keyword
1000009,1013309,keyword
1000009,1013599,keyword
1000009,1014300,keyword
1000009,1014408,keyword
1000009,1015618,keyword
1000009,1015730,keyword
1000009,1015967,keyword
1000009,1016218,keyword
1000009,1017049,keyword
1000009,1017285,keyword
1000009,1017304,keyword
1000009,1017367,keyword
1000009,1019843,keyword
1000009,1020822,keyword
1000009,1020848,keyword
1000009,1021253,keyword
1000009,1021289,keyword
1000009,1021380,keyword
1000009,1022066,keyword
1000009,1023137,keyword
1000009,1023397,keyword
1000009,1023405,keyword
1000009,1024160,keyword
1000009,1024437,keyword
1000009,1027817,keyword
1000009,1028585,keyword
1000009,1029089,keyword
1000009,1031927,keyword
1000009,1032686,keyword
1000009,1035708,keyword
1000009,1036776,keyword
1000009,1037148,keyword
1000010,1000008,keyword
1000011,1000009,keyword
1000011,1001252,keyword
1000011,1002449,keyword
1000011,1002516,keyword
1000011,1002978,keyword
1000011,1002979,keyword
1000011,1004313,keyword
1000011,1005316,keyword
1000011,1006393,keyword
1000011,1006588,keyword
1000011,1007454,keyword
1000011,1013937,keyword
1000012,1000009,keyword
1000012,1000118,keyword
1000012,1000235,keyword
1000012,1002306,keyword
1000012,1002449,keyword
1000012,1002564,keyword
1000012,1002979,keyword
1000012,1004008,keyword
1000012,1004297,keyword
1000012,1004315,keyword
1000012,1004662,keyword
1000012,1005103,keyword
1000012,1005316,keyword
1000012,1005338,keyword
1000012,1006967,keyword
1000012,1008384,keyword
1000012,1010515,keyword
1000012,1010782,keyword
1000012,1027121,keyword
1000012,1035273,keyword
1000012,1035841,keyword
1000012,1036030,keyword
1000013,1000009,keyword
1000013,1000118,keyword
1000013,1000235,keyword
1000013,1000605,keyword
1000013,1001310,keyword
1000013,1002023,keyword
1000013,1002516,keyword
1000013,1002718,keyword
1000013,1002720,keyword
1000013,1002978,keyword
1000013,1002979,keyword
1000013,1003229,keyword
1000013,1003347,keyword
1000013,1004243,keyword
1000013,1004980,keyword
1000013,1005316,keyword
1000013,1008405,keyword
1000013,1009176,keyword
1000013,1026250,keyword
1000013,1028852,keyword
1000013,1030035,keyword
1000013,1039542,keyword
1000014,1000009,keyword
1000014,1000118,keyword
1000014,1000235,keyword
1000014,1000605,keyword
1000014,1001310,keyword
1000014,1002023,keyword
1000014,1002516,keyword
1000014,1002718,keyword
1000014,1002720,keyword
1000014,1002978,keyword
1000014,1002979,keyword
1000014,1003229,keyword
1000014,1003347,keyword
1000014,1004243,keyword
1000014,1004980,keyword
1000014,1005316,keyword
1000014,1009176,keyword
1000014,1027676,keyword
1000015,1000009,keyword
1000015,1000118,keyword
1000015,1000235,keyword
1000015,1000605,keyword
1000015,1001310,keyword
1000015,1002023,keyword
1000015,1002516,keyword
1000015,1002718,keyword
1000015,1002720,keyword
1000015,1002978,keyword
1000015,1002979,keyword
1000015,1003229,keyword
1000015,1003347,keyword
1000015,1004243,keyword
1000015,1004980,keyword
1000015,1005316,keyword
1000015,1009176,keyword
1000016,1000009,keyword
1000016,1000118,keyword
1000016,1000235,keyword
1000016,1000605,keyword
1000016,1001310,keyword
1000016,1002023,keyword
1000016,1002516,keyword
1000016,1002718,keyword
1000016,1002720,keyword
1000016,1002978,keyword
1000016,1002979,keyword
1000016,1003229,keyword
1000016,1003347,keyword
1000016,1004243,keyword
1000016,1004980,keyword
1000016,1005316,keyword
1000016,1009176,keyword
1000017,1000009,keyword
1000017,1000118,keyword
1000017,1000235,keyword
1000017,1000605,keyword
1000017,1001310,keyword
1000017,1002023,keyword
1000017,1002516,keyword
1000017,1002718,keyword
1000017,1002720,keyword
1000017,1002978,keyword
1000017,1002979,keyword
1000017,1003229,keyword
1000017,1003347,keyword
1000017,1004243,keyword
1000017,1004980,keyword
1000017,1005316,keyword
1000017,1008405,keyword
1000017,1009176,keyword
1000018,1000016,keyword
1000018,1001679,keyword
1000018,1002310,keyword
1000018,1004738,keyword
1000018,1006124,keyword
1000018,1006297,keyword
1000018,1006384,keyword
1000018,1006669,keyword
1000018,1008500,keyword
1000018,1013553,keyword
1000018,1013928,keyword
1000019,1000016,keyword
1000019,1000018,keyword
1000019,1002310,keyword
1000019,1016311,keyword
1000019,1016415,keyword
1000019,1016800,keyword
1000019,1018137,keyword
1000019,1020100,keyword
1000019,1020101,keyword
1000019,1024085,keyword
1000019,1028100,keyword
1000019,1038430,keyword
1000020,1000016,keyword
1000020,1000619,keyword
1000020,1001930,keyword
1000020,1002782,keyword
1000020,1003118,keyword
1000020,1003794,keyword
1000020,1008295,keyword
1000020,1009302,keyword
1000020,1011715,keyword
1000020,1013055,keyword
1000020,1013378,keyword
1000020,1015297,keyword
1000020,1015308,keyword
1000020,1015329,keyword
1000020,1015739,keyword
1000020,1016296,keyword
1000020,1016639,keyword
1000020,1016865,keyword
1000020,1016953,keyword
1000020,1017362,keyword
1000020,1018323,keyword
1000020,1019184,keyword
1000020,1019345,keyword
1000020,1022753,keyword
1000020,1028830,keyword
1000020,1036316,keyword
1000020,1037856,keyword
1000021,1000016,keyword
1000021,1001930,keyword
1000021,1002193,keyword
1000021,1002792,keyword
1000021,1002915,keyword
1000021,1003229,keyword
1000021,1003632,keyword
1000021,1003794,keyword
1000021,1005082,keyword
1000021,1008153,keyword
1000021,1009302,keyword
1000021,1011715,keyword
1000021,1013055,keyword
1000021,1013378,keyword
1000021,1014555,keyword
1000021,1016201,keyword
1000021,1016202,keyword
1000021,1018070,keyword
1000021,1018638,keyword
1000021,1019269,keyword
1000021,1019993,keyword
1000021,1020063,keyword
1000021,1020585,keyword
1000021,1021302,keyword
1000021,1021306,keyword
1000021,1022838,keyword
1000021,1023219,keyword
1000021,1023220,keyword
1000021,1023221,keyword
1000021,1023222,keyword
1000021,1023223,keyword
1000021,1024445,keyword
1000021,1024447,keyword
1000021,1025186,keyword
1000021,1028288,keyword
1000021,1028615,keyword
1000021,1029178,keyword
1000021,1039597,keyword
1000022,1000016,keyword
1000022,1001930,keyword
1000022,1004146,keyword
1000023,1000016,keyword
1000023,1001930,keyword
1000023,1004146,keyword
1000024,1000016,keyword
1000024,1001930,keyword
1000024,1002792,keyword
1000024,1003794,keyword
1000024,1005082,keyword
1000024,1013506,keyword
1000024,1013781,keyword
1000024,1014062,keyword
1000024,1014124,keyword
1000024,1015329,keyword
1000024,1015739,keyword
1000024,1016296,keyword
1000024,1016865,keyword
1000024,1016953,keyword
1000024,1017362,keyword
1000024,1018323,keyword
1000024,1018749,keyword
1000024,1018929,keyword
1000024,1023287,keyword
1000024,1023994,keyword
1000024,1038751,keyword
1000024,1039560,keyword
1000025,1000016,keyword
1000025,1000034,keyword
1000025,1000035,keyword
1000025,1000275,keyword
1000025,1001090,keyword
1000025,1001580,keyword
1000025,1001652,keyword
1000025,1001653,keyword
1000025,1001654,keyword
1000025,1001655,keyword
1000025,1001656,keyword
1000025,1001657,keyword
1000025,1001725,keyword
1000025,1001930,keyword
1000025,1001973,keyword
1000025,1002341,keyword
1000025,1002389,keyword
1000025,1003608,keyword
1000025,1003794,keyword
1000025,1003910,keyword
1000025,1004145,keyword
1000025,1004235,keyword
1000025,1004557,keyword
1000025,1006409,keyword
1000025,1006776,keyword
1000025,1007259,keyword
1000025,1007633,keyword
1000025,1007948,keyword
1000025,1008150,keyword
1000025,1008789,keyword
1000025,1009184,keyword
1000025,1009326,keyword
1000025,1010921,keyword
1000025,1010922,keyword
