id,date,year,month,day
0,1994-05-18,1994,5,18
1,1973-07-19,1973,7,19
2,1966-07-18,1966,7,18
3,1963-08-02,1963,8,2
4,1987-12-23,1987,12,23
5,1982-06-16,1982,6,16
6,1981-06-30,1981,6,30
7,1975-05-07,1975,5,7
8,1973-12-10,1973,12,10
9,1963-07-30,1963,7,30
10,1972-12-06,1972,12,6
11,1972-05-03,1972,5,3
12,2005-07-08,2005,7,8
13,2010-05-07,2010,5,7
14,2011-11-18,2011,11,18
15,2013-05-03,2013,5,3
16,1994-03-16,1994,3,16
17,1994-12-21,1994,12,21
18,1997-02-04,1997,2,4
19,1997-02-04,1997,2,4
20,1997-02-04,1997,2,4
21,1994-03-16,1994,3,16
22,1994-12-21,1994,12,21
23,1997-02-04,1997,2,4
24,1997-02-04,1997,2,4
25,1997-02-04,1997,2,4
26,2004-05-07,2004,5,7
27,1994-03-16,1994,3,16
28,1994-12-21,1994,12,21
29,1997-02-04,1997,2,4
30,1997-02-04,1997,2,4
31,1997-02-04,1997,2,4
32,2004-05-07,2004,5,7
33,1994-03-16,1994,3,16
34,1994-12-21,1994,12,21
35,1997-02-04,1997,2,4
36,1997-02-04,1997,2,4
37,1997-02-04,1997,2,4
38,2004-05-07,2004,5,7
39,1994-03-16,1994,3,16
40,1994-12-21,1994,12,21
41,1997-02-04,1997,2,4
42,1997-02-04,1997,2,4
43,1997-02-04,1997,2,4
44,2004-05-07,2004,5,7
45,1994-03-23,1994,3,23
46,1994-07-06,1994,7,6
47,2008-05-30,2008,5,30
48,2009-04-03,2009,4,3
49,2010-02-26,2010,2,26
50,2010-02-26,2010,2,26
51,2019-03-22,2019,3,22
52,2020-09-18,2020,9,18
53,2022-01-28,2022,1,28
54,2023-06-23,2023,6,23
55,2023-09-08,2023,9,8
56,1994-02-02,1994,2,2
57,1995-04-06,1995,4,6
58,1989-02-24,1989,2,24
59,1985-01-25,1985,1,25
60,1997-02-03,1997,2,3
61,1997-07-15,1997,7,15
62,2009-04-30,2009,4,30
63,2018-05-18,2018,5,18
64,2018-05-18,2018,5,18
65,2018-05-18,2018,5,18
66,2018-05-18,2018,5,18
67,2018-05-18,2018,5,18
68,2018-05-18,2018,5,18
69,2018-05-18,2018,5,18
70,2018-05-18,2018,5,18
71,2018-05-18,2018,5,18
72,2018-05-18,2018,5,18
73,2018-05-18,2018,5,18
74,2018-05-18,2018,5,18
75,2018-05-18,2018,5,18
76,2018-05-18,2018,5,18
77,2018-05-18,2018,5,18
78,2018-05-18,2018,5,18
79,2018-05-18,2018,5,18
80,2018-05-18,2018,5,18
81,2018-05-18,2018,5,18
82,2018-05-18,2018,5,18
83,2018-05-18,2018,5,18
84,1994-02-02,1994,2,2
85,1993-12-22,1993,12,22
86,1992-12-18,1992,12,18
87,1992-06-25,1992,6,25
88,1994-07-20,1994,7,20
89,1993-06-23,1993,6,23
90,1992-10-08,1992,10,8
91,1993-07-22,1993,7,22
92,1992-07-23,1992,7,23
93,1994-09-29,1994,9,29
94,1992-12-18,1992,12,18
95,1992-10-01,1992,10,1
96,1970-12-10,1970,12,10
97,1991-03-20,1991,3,20
98,1995-01-11,1995,1,11
99,1995-03-08,1995,3,8
100,1995-04-06,1995,4,6
101,1995-04-06,1995,4,6
102,1988-09-21,1988,9,21
103,1995-12-05,1995,12,5
104,1995-12-22,1995,12,22
105,1996-01-31,1996,1,31
106,1985-01-25,1985,1,25
107,1996-09-27,1996,9,27
108,1996-12-20,1996,12,20
109,1996-12-19,1996,12,19
110,1996-12-19,1996,12,19
111,1996-12-19,1996,12,19
112,1997-02-04,1997,2,4
113,1997-07-15,1997,7,15
114,1998-02-06,1998,2,6
115,1998-04-07,1998,4,7
116,1998-07-24,1998,7,24
117,1998-10-06,1998,10,6
118,1998-11-12,1998,11,12
119,1999-01-19,1999,1,19
120,1999-03-23,1999,3,23
121,1999-06-08,1999,6,8
122,1999-07-09,1999,7,9
123,1999-07-01,1999,7,1
124,1999-07-01,1999,7,1
125,1999-11-08,1999,11,8
126,1999-12-09,1999,12,9
127,2000-10-20,2000,10,20
128,2000-12-13,2000,12,13
129,2001-03-08,2001,3,8
130,1968-12-27,1968,12,27
131,1981-03-18,1981,3,18
132,2001-05-18,2001,5,18
133,2002-02-12,2002,2,12
134,2003-07-18,2003,7,18
135,1997-06-12,1997,6,12
136,2003-10-03,2003,10,3
137,1998-09-03,1998,9,3
138,2003-12-04,2003,12,4
139,2004-02-06,2004,2,6
140,2004-03-01,2004,3,1
141,2004-04-02,2004,4,2
142,2004-06-03,2004,6,3
143,2004-05-14,2004,5,14
144,2004-07-09,2004,7,9
145,2004-06-10,2004,6,10
146,2005-12-09,2005,12,9
147,2006-02-10,2006,2,10
148,2007-02-02,2007,2,2
149,2007-04-12,2007,4,12
150,2007-06-29,2007,6,29
151,2007-09-27,2007,9,27
152,2008-07-30,2008,7,30
153,2008-07-18,2008,7,18
154,2008-11-07,2008,11,7
155,2008-12-09,2008,12,9
156,2010-10-22,2010,10,22
157,2010-12-24,2010,12,24
158,2011-10-06,2011,10,6
159,1994-06-01,1994,6,1
160,2012-02-01,2012,2,1
161,2012-03-06,2012,3,6
162,2012-07-06,2012,7,6
163,2013-07-12,2013,7,12
164,2013-10-18,2013,10,18
165,2013-09-13,2013,9,13
166,2014-05-16,2014,5,16
167,2014-06-10,2014,6,10
168,2017-01-13,2017,1,13
169,2017-09-05,2017,9,5
170,2018-02-07,2018,2,7
171,2019-06-21,2019,6,21
172,2020-02-10,2020,2,10
173,2021-06-04,2021,6,4
174,2022-03-18,2022,3,18
175,2022-03-14,2022,3,14
176,1994-02-02,1994,2,2
177,1991-03-20,1991,3,20
178,1994-09-29,1994,9,29
179,1991-09-25,1991,9,25
180,1991-07-24,1991,7,24
181,1991-03-20,1991,3,20
182,1991-04-03,1991,4,3
183,1987-09-16,1987,9,16
184,1997-01-17,1997,1,17
185,1998-10-06,1998,10,6
186,1999-03-23,1999,3,23
187,2000-05-26,2000,5,26
188,2005-06-24,2005,6,24
189,1991-03-20,1991,3,20
190,1994-05-30,1994,5,30
191,1994-06-01,1994,6,1
192,1991-10-30,1991,10,30
193,1991-09-25,1991,9,25
194,1991-05-03,1991,5,3
195,1991-04-03,1991,4,3
196,1995-04-05,1995,4,5
197,1989-07-05,1989,7,5
198,1989-07-12,1989,7,12
199,1996-05-14,1996,5,14
200,1996-11-19,1996,11,19
201,1997-01-17,1997,1,17
202,1996-12-19,1996,12,19
203,1989-01-12,1989,1,12
204,2001-07-13,2001,7,13
205,2002-12-13,2002,12,13
206,2003-01-17,2003,1,17
207,2016-07-01,2016,7,1
208,2020-12-04,2020,12,4
209,2021-06-30,2021,6,30
210,2021-07-09,2021,7,9
211,1991-03-20,1991,3,20
212,1994-05-30,1994,5,30
213,1994-06-01,1994,6,1
214,1993-12-15,1993,12,15
215,1992-12-18,1992,12,18
216,1994-12-21,1994,12,21
217,1991-07-24,1991,7,24
218,1986-12-23,1986,12,23
219,1986-12-23,1986,12,23
220,1991-03-20,1991,3,20
221,1991-04-03,1991,4,3
222,1989-12-20,1989,12,20
223,1990-08-06,1990,8,6
224,1989-09-06,1989,9,6
225,1996-10-31,1996,10,31
226,1997-01-17,1997,1,17
227,1923-05-31,1923,5,31
228,2002-03-29,2002,3,29
229,2015-12-18,2015,12,18
230,2017-12-22,2017,12,22
231,2018-11-30,2018,11,30
232,2024-03-08,2024,3,8
233,1991-03-20,1991,3,20
234,1994-05-30,1994,5,30
235,1994-06-01,1994,6,1
236,1993-12-15,1993,12,15
237,1992-12-18,1992,12,18
238,1994-12-21,1994,12,21
239,1991-07-24,1991,7,24
240,1986-12-23,1986,12,23
241,1986-12-23,1986,12,23
242,1991-03-20,1991,3,20
243,1991-04-03,1991,4,3
244,1989-12-20,1989,12,20
245,1990-08-06,1990,8,6
246,1989-09-06,1989,9,6
247,1996-10-31,1996,10,31
248,1997-01-17,1997,1,17
249,2002-03-29,2002,3,29
250,2016-12-14,2016,12,14
251,1991-03-20,1991,3,20
252,1994-05-30,1994,5,30
253,1994-06-01,1994,6,1
254,1993-12-15,1993,12,15
255,1992-12-18,1992,12,18
256,1994-12-21,1994,12,21
257,1991-07-24,1991,7,24
258,1986-12-23,1986,12,23
259,1986-12-23,1986,12,23
260,1991-03-20,1991,3,20
261,1991-04-03,1991,4,3
262,1989-12-20,1989,12,20
263,1990-08-06,1990,8,6
264,1989-09-06,1989,9,6
265,1996-10-31,1996,10,31
266,1997-01-17,1997,1,17
267,2002-03-29,2002,3,29
268,1991-03-20,1991,3,20
269,1994-05-30,1994,5,30
270,1994-06-01,1994,6,1
271,1993-12-15,1993,12,15
272,1992-12-18,1992,12,18
273,1994-12-21,1994,12,21
274,1991-07-24,1991,7,24
275,1986-12-23,1986,12,23
276,1986-12-23,1986,12,23
277,1991-03-20,1991,3,20
278,1991-04-03,1991,4,3
279,1989-12-20,1989,12,20
280,1990-08-06,1990,8,6
281,1989-09-06,1989,9,6
282,1996-10-31,1996,10,31
283,1997-01-17,1997,1,17
284,2002-03-29,2002,3,29
285,1991-03-20,1991,3,20
286,1994-05-30,1994,5,30
287,1994-06-01,1994,6,1
288,1993-12-15,1993,12,15
289,1992-12-18,1992,12,18
290,1994-12-21,1994,12,21
291,1991-07-24,1991,7,24
292,1986-12-23,1986,12,23
293,1986-12-23,1986,12,23
294,1991-03-20,1991,3,20
295,1991-04-03,1991,4,3
296,1989-12-20,1989,12,20
297,1990-08-06,1990,8,6
298,1989-09-06,1989,9,6
299,1996-10-31,1996,10,31
300,1997-01-17,1997,1,17
301,1923-05-31,1923,5,31
302,2002-03-29,2002,3,29
303,1991-02-06,1991,2,6
304,1994-12-07,1994,12,7
305,1989-03-23,1989,3,23
306,1996-06-28,1996,6,28
307,1998-04-06,1998,4,6
308,1998-07-31,1998,7,31
309,1998-02-10,1998,2,10
310,1999-05-18,1999,5,18
311,2001-12-14,2001,12,14
312,2004-05-28,2004,5,28
313,2005-07-01,2005,7,1
314,1991-02-06,1991,2,6
315,1989-03-23,1989,3,23
316,1989-03-23,1989,3,23
317,2007-10-12,2007,10,12
318,2007-12-01,2007,12,1
319,2008-04-18,2008,4,18
320,2009-06-19,2009,6,19
321,2011-02-25,2011,2,25
322,2011-02-25,2011,2,25
323,2014-04-25,2014,4,25
324,2017-02-17,2017,2,17
325,2023-05-05,2023,5,5
326,1991-02-06,1991,2,6
327,1984-03-22,1984,3,22
328,1992-05-11,1992,5,11
329,1985-03-27,1985,3,27
330,1984-01-24,1984,1,24
331,1995-06-01,1995,6,1
332,1984-03-22,1984,3,22
333,2002-06-28,2002,6,28
334,2003-07-18,2003,7,18
335,2004-04-02,2004,4,2
336,2004-06-11,2004,6,11
337,1997-06-02,1997,6,2
338,2006-07-20,2006,7,20
339,2006-12-22,2006,12,22
340,2007-03-09,2007,3,9
341,2007-09-07,2007,9,7
342,1977-01-10,1977,1,10
343,2008-06-06,2008,6,6
344,2008-07-16,2008,7,16
345,2008-10-10,2008,10,10
346,2009-09-08,2009,9,8
347,2010-05-21,2010,5,21
348,2010-07-23,2010,7,23
349,2013-02-08,2013,2,8
350,2017-12-01,2017,12,1
351,2021-11-30,2021,11,30
352,2022-12-20,2022,12,20
353,1991-02-06,1991,2,6
354,1992-05-11,1992,5,11
355,1991-12-04,1991,12,4
356,1991-05-02,1991,5,2
357,1991-03-20,1991,3,20
358,1989-12-20,1989,12,20
359,1990-02-14,1990,2,14
360,1995-06-01,1995,6,1
361,1996-12-03,1996,12,3
362,1985-01-16,1985,1,16
363,2002-06-28,2002,6,28
364,2003-07-18,2003,7,18
365,2004-04-02,2004,4,2
366,2004-06-11,2004,6,11
367,2006-03-10,2006,3,10
368,2007-07-06,2007,7,6
369,2007-07-13,2007,7,13
370,2009-06-05,2009,6,5
371,2009-11-30,2009,11,30
372,2010-07-27,2010,7,27
373,2010-10-06,2010,10,6
374,2011-01-31,2011,1,31
375,2011-07-27,2011,7,27
376,2012-01-31,2012,1,31
377,2012-02-10,2012,2,10
378,2013-03-01,2013,3,1
379,2012-08-30,2012,8,30
380,2012-10-15,2012,10,15
381,2012-10-15,2012,10,15
382,2012-10-15,2012,10,15
383,2012-10-15,2012,10,15
384,2014-02-03,2014,2,3
385,2014-05-09,2014,5,9
386,2015-03-04,2015,3,4
387,2017-05-05,2017,5,5
388,2017-08-16,2017,8,16
389,2018-02-28,2018,2,28
390,1991-02-06,1991,2,6
391,1992-05-11,1992,5,11
392,1995-12-20,1995,12,20
393,1991-02-06,1991,2,6
394,1992-05-11,1992,5,11
395,1995-12-20,1995,12,20
396,1991-02-06,1991,2,6
397,1992-05-11,1992,5,11
398,1991-05-02,1991,5,2
399,1995-06-01,1995,6,1
400,1996-12-03,1996,12,3
401,2004-10-01,2004,10,1
402,2005-04-22,2005,4,22
403,2005-09-23,2005,9,23
404,2005-10-21,2005,10,21
405,2006-12-22,2006,12,22
406,2007-03-09,2007,3,9
407,2007-09-07,2007,9,7
408,2008-06-06,2008,6,6
409,2008-07-16,2008,7,16
410,2008-10-10,2008,10,10
411,2009-09-08,2009,9,8
412,2010-01-08,2010,1,8
413,2010-03-26,2010,3,26
414,2013-07-05,2013,7,5
415,2014-02-21,2014,2,21
416,2023-07-14,2023,7,14
417,2024-02-23,2024,2,23
418,1991-02-06,1991,2,6
419,1981-07-02,1981,7,2
420,1984-07-09,1984,7,9
421,1994-06-16,1994,6,16
422,1993-05-19,1993,5,19
423,1984-12-19,1984,12,19
424,1982-04-21,1982,4,21
425,1982-04-21,1982,4,21
426,1982-04-21,1982,4,21
427,1982-04-21,1982,4,21
428,1982-04-21,1982,4,21
429,1982-04-21,1982,4,21
430,1990-11-19,1990,11,19
431,1992-05-11,1992,5,11
432,1994-12-07,1994,12,7
433,1995-02-22,1995,2,22
434,1976-02-09,1976,2,9
435,1989-09-12,1989,9,12
436,1995-06-01,1995,6,1
437,1995-05-24,1995,5,24
438,1994-10-26,1994,10,26
439,1989-07-28,1989,7,28
440,1996-03-05,1996,3,5
441,1998-12-07,1998,12,7
442,1999-06-08,1999,6,8
443,2000-03-17,2000,3,17
444,1985-08-01,1985,8,1
445,2001-04-20,2001,4,20
446,1984-11-14,1984,11,14
447,1983-06-20,1983,6,20
448,2002-05-24,2002,5,24
449,1982-03-11,1982,3,11
450,2003-04-25,2003,4,25
451,2003-04-25,2003,4,25
452,2004-01-23,2004,1,23
453,2004-01-23,2004,1,23
454,2004-02-06,2004,2,6
455,2004-03-05,2004,3,5
456,2003-12-05,2003,12,5
457,2004-04-02,2004,4,2
458,2005-04-22,2005,4,22
459,2005-07-18,2005,7,18
460,2005-06-28,2005,6,28
461,2006-12-22,2006,12,22
462,2006-12-15,2006,12,15
463,2007-03-20,2007,3,20
464,2007-03-09,2007,3,9
465,2007-04-25,2007,4,25
466,2008-03-12,2008,3,12
467,2008-06-06,2008,6,6
468,2009-03-24,2009,3,24
469,2010-03-10,2010,3,10
470,2011-03-22,2011,3,22
471,2003-01-10,2003,1,10
472,2012-03-20,2012,3,20
473,2013-03-13,2013,3,13
474,2013-06-21,2013,6,21
475,2014-05-06,2014,5,6
476,2015-05-27,2015,5,27
477,2016-05-19,2016,5,19
478,2018-03-01,2018,3,1
479,2019-03-25,2019,3,25
480,2020-05-13,2020,5,13
481,2021-04-27,2021,4,27
482,2021-04-27,2021,4,27
483,2022-05-23,2022,5,23
484,2022-05-23,2022,5,23
485,2023-06-14,2023,6,14
486,2024-02-26,2024,2,26
487,1991-02-06,1991,2,6
488,1981-07-02,1981,7,2
489,1984-07-09,1984,7,9
490,1994-06-16,1994,6,16
491,1993-05-19,1993,5,19
492,1984-12-19,1984,12,19
493,1982-04-21,1982,4,21
494,1982-04-21,1982,4,21
495,1982-04-21,1982,4,21
496,1982-04-21,1982,4,21
497,1982-04-21,1982,4,21
498,1982-04-21,1982,4,21
499,1990-11-19,1990,11,19
500,1992-05-11,1992,5,11
501,1994-12-07,1994,12,7
502,1995-02-22,1995,2,22
503,1976-02-09,1976,2,9
504,1989-09-12,1989,9,12
505,1995-06-01,1995,6,1
506,1995-05-24,1995,5,24
507,1994-10-26,1994,10,26
508,1989-07-28,1989,7,28
509,1996-03-05,1996,3,5
510,1998-12-07,1998,12,7
511,1999-06-08,1999,6,8
512,2000-03-17,2000,3,17
513,1985-08-01,1985,8,1
514,2001-04-20,2001,4,20
515,1984-11-14,1984,11,14
516,1983-06-20,1983,6,20
517,2002-05-24,2002,5,24
518,1982-03-11,1982,3,11
519,2003-04-25,2003,4,25
520,2003-04-25,2003,4,25
521,2004-01-23,2004,1,23
522,2004-01-23,2004,1,23
523,2004-02-06,2004,2,6
524,2004-03-05,2004,3,5
525,2003-12-05,2003,12,5
526,2004-04-02,2004,4,2
527,2005-04-22,2005,4,22
528,2005-07-18,2005,7,18
529,2005-06-28,2005,6,28
530,2002-10-17,2002,10,17
531,2007-02-16,2007,2,16
532,2007-03-20,2007,3,20
533,2007-12-03,2007,12,3
534,2007-12-03,2007,12,3
535,2008-01-11,2008,1,11
536,2008-11-04,2008,11,4
537,2009-01-16,2009,1,16
538,2009-03-30,2009,3,30
539,2010-01-12,2010,1,12
540,2011-01-07,2011,1,7
541,2010-12-06,2010,12,6
542,2009-12-03,2009,12,3
543,2010-12-17,2010,12,17
544,2012-01-18,2012,1,18
545,2011-12-23,2011,12,23
546,1989-10-30,1989,10,30
547,2003-01-10,2003,1,10
548,2012-02-17,2012,2,17
549,2012-05-08,2012,5,8
550,2012-09-04,2012,9,4
551,2012-09-04,2012,9,4
552,2013-02-19,2013,2,19
553,2013-06-21,2013,6,21
554,2014-05-06,2014,5,6
555,2014-05-22,2014,5,22
556,2015-11-25,2015,11,25
557,2015-11-18,2015,11,18
558,2017-01-10,2017,1,10
559,2018-02-06,2018,2,6
560,2018-03-01,2018,3,1
561,2018-09-06,2018,9,6
562,2019-02-14,2019,2,14
563,2019-12-16,2019,12,16
564,2020-04-24,2020,4,24
565,2020-12-16,2020,12,16
566,2021-07-13,2021,7,13
567,2022-04-01,2022,4,1
568,2022-10-28,2022,10,28
569,2022-07-15,2022,7,15
570,2023-03-15,2023,3,15
571,2021-07-13,2021,7,13
572,2023-08-31,2023,8,31
573,2023-12-19,2023,12,19
574,2024-02-09,2024,2,9
575,1991-02-06,1991,2,6
576,1989-03-23,1989,3,23
577,1993-07-28,1993,7,28
578,1992-05-11,1992,5,11
579,1995-06-01,1995,6,1
580,1991-02-06,1991,2,6
581,1993-07-28,1993,7,28
582,1992-05-11,1992,5,11
583,1995-06-01,1995,6,1
584,1996-03-05,1996,3,5
585,1996-12-19,1996,12,19
586,1997-07-31,1997,7,31
587,1998-10-06,1998,10,6
588,1999-03-02,1999,3,2
589,2000-10-13,2000,10,13
590,2003-03-10,2003,3,10
591,2004-03-19,2004,3,19
592,2009-02-06,2009,2,6
593,2012-06-29,2012,6,29
594,1991-02-06,1991,2,6
595,1985-06-28,1985,6,28
596,1993-07-28,1993,7,28
597,1992-05-11,1992,5,11
598,1991-07-24,1991,7,24
599,1995-06-01,1995,6,1
600,1996-12-19,1996,12,19
601,1997-03-20,1997,3,20
602,1998-02-17,1998,2,17
603,2000-03-03,2000,3,3
604,2001-10-05,2001,10,5
605,2003-03-10,2003,3,10
606,2006-07-03,2006,7,3
607,2009-02-06,2009,2,6
608,1978-10-10,1978,10,10
609,1961-02-14,1961,2,14
610,1970-07-15,1970,7,15
611,1978-08-05,1978,8,5
612,2002-01-11,2002,1,11
613,2003-01-31,2003,1,31
614,2003-04-04,2003,4,4
615,2003-04-04,2003,4,4
616,2002-02-12,2002,2,12
617,2003-09-05,2003,9,5
618,1997-06-12,1997,6,12
619,2003-10-10,2003,10,10
620,1998-09-03,1998,9,3
621,1994-06-06,1994,6,6
622,2003-11-18,2003,11,18
623,2003-09-05,2003,9,5
624,2003-10-02,2003,10,2
625,2003-12-12,2003,12,12
626,2003-12-19,2003,12,19
627,2004-02-06,2004,2,6
628,2004-04-19,2004,4,19
629,2004-04-02,2004,4,2
630,2004-05-19,2004,5,19
631,2004-05-19,2004,5,19
632,2004-11-09,2004,11,9
633,2004-10-01,2004,10,1
634,2004-10-29,2004,10,29
635,2004-12-03,2004,12,3
636,2005-02-01,2005,2,1
637,2005-02-18,2005,2,18
638,2005-02-22,2005,2,22
639,2000-12-15,2000,12,15
640,2005-04-11,2005,4,11
641,2005-06-08,2005,6,8
642,2005-06-17,2005,6,17
643,2005-06-03,2005,6,3
644,2005-07-01,2005,7,1
645,2005-10-07,2005,10,7
646,2005-12-23,2005,12,23
647,2006-05-11,2006,5,11
648,2006-03-31,2006,3,31
649,2006-05-19,2006,5,19
650,2006-05-12,2006,5,12
651,2006-06-23,2006,6,23
652,2006-05-03,2006,5,3
653,2006-07-05,2006,7,5
654,2006-07-20,2006,7,20
655,2006-07-19,2006,7,19
656,2006-07-31,2006,7,31
657,2007-03-20,2007,3,20
658,2007-03-20,2007,3,20
659,2007-02-19,2007,2,19
660,2007-05-11,2007,5,11
661,2007-05-16,2007,5,16
662,2007-05-16,2007,5,16
663,2007-07-23,2007,7,23
664,2007-09-13,2007,9,13
665,2008-02-22,2008,2,22
666,2008-05-07,2008,5,7
667,2008-06-06,2008,6,6
668,2009-02-23,2009,2,23
669,2008-04-18,2008,4,18
670,2009-03-06,2009,3,6
671,2005-05-27,2005,5,27
672,2009-04-24,2009,4,24
673,2010-12-17,2010,12,17
674,2011-01-26,2011,1,26
675,2011-01-24,2011,1,24
676,2012-03-16,2012,3,16
677,2011-11-29,2011,11,29
678,2012-07-13,2012,7,13
679,2012-12-24,2012,12,24
680,2012-12-24,2012,12,24
681,2012-12-24,2012,12,24
682,2012-12-24,2012,12,24
683,2013-05-24,2013,5,24
684,2013-07-19,2013,7,19
685,2014-05-26,2014,5,26
686,2015-12-23,2015,12,23
687,2016-03-30,2016,3,30
688,2019-07-19,2019,7,19
689,2019-07-30,2019,7,30
690,2021-12-10,2021,12,10
691,2022-06-10,2022,6,10
692,2022-10-21,2022,10,21
693,1994-01-19,1994,1,19
694,1993-04-07,1993,4,7
695,1991-07-31,1991,7,31
696,1990-12-21,1990,12,21
697,1991-01-30,1991,1,30
698,1997-06-10,1997,6,10
699,1997-12-19,1997,12,19
700,1997-12-09,1997,12,9
701,1998-02-17,1998,2,17
702,1999-03-02,1999,3,2
703,1999-03-02,1999,3,2
704,1999-02-23,1999,2,23
705,2001-12-14,2001,12,14
706,2001-12-21,2001,12,21
707,2002-12-13,2002,12,13
708,2003-01-31,2003,1,31
709,2003-04-04,2003,4,4
710,2003-09-05,2003,9,5
711,2003-10-10,2003,10,10
712,2003-11-18,2003,11,18
713,2003-12-12,2003,12,12
714,2004-02-06,2004,2,6
715,2003-12-05,2003,12,5
716,2005-02-01,2005,2,1
717,2005-02-18,2005,2,18
718,2005-02-22,2005,2,22
719,2005-06-08,2005,6,8
720,2005-05-27,2005,5,27
721,2005-12-16,2005,12,16
722,2006-05-11,2006,5,11
723,2006-03-31,2006,3,31
724,2006-05-03,2006,5,3
725,2006-07-05,2006,7,5
726,2006-07-07,2006,7,7
727,2007-06-13,2007,6,13
728,2007-07-06,2007,7,6
729,2007-07-10,2007,7,10
730,2007-07-19,2007,7,19
731,2007-09-13,2007,9,13
732,2008-03-10,2008,3,10
733,2008-04-30,2008,4,30
734,2008-05-20,2008,5,20
735,2008-06-26,2008,6,26
736,2008-11-07,2008,11,7
737,2008-12-19,2008,12,19
738,2009-02-20,2009,2,20
739,2008-04-18,2008,4,18
740,2009-03-06,2009,3,6
741,2009-01-01,2009,1,1
742,2009-03-27,2009,3,27
743,2005-05-27,2005,5,27
744,2009-04-15,2009,4,15
745,2009-04-24,2009,4,24
746,2009-05-06,2009,5,6
747,2009-10-16,2009,10,16
748,2010-04-28,2010,4,28
749,2011-01-24,2011,1,24
750,2013-02-14,2013,2,14
751,2013-06-21,2013,6,21
752,2013-12-20,2013,12,20
753,2014-05-26,2014,5,26
754,2016-02-26,2016,2,26
755,2016-03-30,2016,3,30
756,2016-05-10,2016,5,10
757,2021-03-10,2021,3,10
758,2021-03-10,2021,3,10
759,2021-07-02,2021,7,2
760,2022-10-12,2022,10,12
761,2022-10-28,2022,10,28
762,2023-03-15,2023,3,15
763,1994-01-19,1994,1,19
764,1993-04-07,1993,4,7
765,1991-07-31,1991,7,31
766,1990-12-21,1990,12,21
767,1991-01-30,1991,1,30
768,1997-06-10,1997,6,10
769,1997-12-19,1997,12,19
770,1997-12-09,1997,12,9
771,1998-02-17,1998,2,17
772,1999-03-02,1999,3,2
773,1999-03-02,1999,3,2
774,1999-02-23,1999,2,23
775,2001-12-14,2001,12,14
776,2001-12-21,2001,12,21
777,2002-12-13,2002,12,13
778,2003-01-31,2003,1,31
779,2003-04-04,2003,4,4
780,2003-09-05,2003,9,5
781,2003-10-10,2003,10,10
782,2003-11-18,2003,11,18
783,2003-12-12,2003,12,12
784,2004-02-06,2004,2,6
785,2003-12-05,2003,12,5
786,2005-02-01,2005,2,1
787,2005-02-18,2005,2,18
788,2005-02-22,2005,2,22
789,2005-06-08,2005,6,8
790,2005-05-27,2005,5,27
791,2005-12-16,2005,12,16
792,2006-05-11,2006,5,11
793,2006-03-31,2006,3,31
794,2006-05-03,2006,5,3
795,2006-07-05,2006,7,5
796,2006-07-07,2006,7,7
797,2006-10-01,2006,10,1
798,2007-02-19,2007,2,19
799,2007-05-16,2007,5,16
800,2007-07-06,2007,7,6
801,2007-07-10,2007,7,10
802,2007-09-13,2007,9,13
803,2008-02-22,2008,2,22
804,2008-04-30,2008,4,30
805,2008-05-20,2008,5,20
806,2002-05-03,2002,5,3
807,2008-09-30,2008,9,30
808,2008-12-19,2008,12,19
809,2009-02-20,2009,2,20
810,2009-02-13,2009,2,13
811,2008-04-18,2008,4,18
812,2009-01-01,2009,1,1
813,2009-03-27,2009,3,27
814,2009-04-15,2009,4,15
815,2009-04-24,2009,4,24
816,2009-05-06,2009,5,6
817,2009-07-03,2009,7,3
818,2009-10-16,2009,10,16
819,2010-04-30,2010,4,30
820,2010-09-13,2010,9,13
821,2010-12-17,2010,12,17
822,2011-01-26,2011,1,26
823,2012-11-09,2012,11,9
824,2012-12-24,2012,12,24
825,2013-09-13,2013,9,13
826,2014-05-26,2014,5,26
827,2016-02-26,2016,2,26
828,2016-07-15,2016,7,15
829,2017-05-12,2017,5,12
830,2020-03-13,2020,3,13
831,2021-09-03,2021,9,3
832,2023-06-23,2023,6,23
833,2023-10-23,2023,10,23
834,1994-01-19,1994,1,19
835,1994-01-19,1994,1,19
836,1981-06-16,1981,6,16
837,1998-04-28,1998,4,28
838,2001-12-21,2001,12,21
839,1978-01-31,1978,1,31
840,2007-02-09,2007,2,9
841,1981-07-02,1981,7,2
842,1994-10-12,1994,10,12
843,1997-07-01,1997,7,1
844,1997-07-01,1997,7,1
845,1998-12-15,1998,12,15
846,2000-03-17,2000,3,17
847,2002-12-13,2002,12,13
848,2003-12-05,2003,12,5
849,2005-05-20,2005,5,20
850,2007-02-16,2007,2,16
851,2010-12-06,2010,12,6
852,2010-12-17,2010,12,17
853,2022-07-15,2022,7,15
854,1994-02-02,1994,2,2
855,1998-04-07,1998,4,7
856,1998-09-22,1998,9,22
857,1999-03-02,1999,3,2
858,2000-09-29,2000,9,29
859,2000-10-20,2000,10,20
860,1994-02-02,1994,2,2
861,1998-04-07,1998,4,7
862,1998-09-22,1998,9,22
863,1999-03-02,1999,3,2
864,2000-09-29,2000,9,29
865,2000-10-20,2000,10,20
866,1982-06-16,1982,6,16
867,1995-03-08,1995,3,8
868,1994-02-14,1994,2,14
869,1988-12-21,1988,12,21
870,1993-03-04,1993,3,4
871,1992-10-28,1992,10,28
872,1997-10-21,1997,10,21
873,1997-10-21,1997,10,21
