id,date,year,month,day
5016,2000-12-15,2000,12,15
5017,2000-12-22,2000,12,22
5018,2001-04-27,2001,4,27
5019,2001-04-27,2001,4,27
5020,2001-04-27,2001,4,27
5021,2001-05-18,2001,5,18
5022,2001-06-22,2001,6,22
5023,1986-12-22,1986,12,22
5024,2001-07-06,2001,7,6
5025,2002-01-11,2002,1,11
5026,2003-04-25,2003,4,25
5027,2003-07-18,2003,7,18
5028,2004-05-07,2004,5,7
5029,2004-06-26,2004,6,26
5030,1995-05-02,1995,5,2
5031,2014-02-13,2014,2,13
5032,1990-12-12,1990,12,12
5033,1991-06-19,1991,6,19
5034,1990-12-21,1990,12,21
5035,1990-04-26,1990,4,26
5036,1995-04-19,1995,4,19
5037,1995-04-19,1995,4,19
5038,1996-07-16,1996,7,16
5039,1996-07-24,1996,7,24
5040,2005-03-04,2005,3,4
5041,2005-03-04,2005,3,4
5042,2007-05-16,2007,5,16
5043,2015-07-17,2015,7,17
5044,1990-12-12,1990,12,12
5045,1991-06-19,1991,6,19
5046,1990-12-21,1990,12,21
5047,1990-04-26,1990,4,26
5048,1995-04-19,1995,4,19
5049,1995-04-19,1995,4,19
5050,1996-07-16,1996,7,16
5051,1996-07-24,1996,7,24
5052,2005-03-04,2005,3,4
5053,2005-03-04,2005,3,4
5054,2011-11-14,2011,11,14
5055,1990-12-12,1990,12,12
5056,1978-09-08,1978,9,8
5057,1990-12-12,1990,12,12
5058,1985-05-02,1985,5,2
5059,1990-12-12,1990,12,12
5060,1994-01-19,1994,1,19
5061,1993-11-17,1993,11,17
5062,1992-06-25,1992,6,25
5063,1993-10-07,1993,10,7
5064,1990-12-12,1990,12,12
5065,1994-10-12,1994,10,12
5066,1995-12-22,1995,12,22
5067,1997-07-23,1997,7,23
5068,1976-05-17,1976,5,17
5069,2000-12-08,2000,12,8
5070,2004-04-02,2004,4,2
5071,2003-09-05,2003,9,5
5072,1990-12-12,1990,12,12
5073,1987-12-16,1987,12,16
5074,1987-07-15,1987,7,15
5075,1997-12-17,1997,12,17
5076,1983-06-28,1983,6,28
5077,1999-06-01,1999,6,1
5078,1985-10-02,1985,10,2
5079,1985-07-17,1985,7,17
5080,2000-12-01,2000,12,1
5081,2001-12-21,2001,12,21
5082,2003-12-19,2003,12,19
5083,2006-05-19,2006,5,19
5084,2007-11-23,2007,11,23
5085,2010-11-19,2010,11,19
5086,2011-09-30,2011,9,30
5087,2011-09-09,2011,9,9
5088,2013-10-25,2013,10,25
5089,2014-10-10,2014,10,10
5090,2016-09-09,2016,9,9
5091,2018-01-26,2018,1,26
5092,2019-06-28,2019,6,28
5093,1990-12-12,1990,12,12
5094,1994-07-06,1994,7,6
5095,1994-09-23,1994,9,23
5096,1992-05-20,1992,5,20
5097,1990-09-05,1990,9,5
5098,1996-04-02,1996,4,2
5099,2004-05-07,2004,5,7
5100,2004-05-07,2004,5,7
5101,2005-03-18,2005,3,18
5102,2007-09-07,2007,9,7
5103,1990-12-12,1990,12,12
5104,1994-07-06,1994,7,6
5105,1994-09-23,1994,9,23
5106,1992-05-20,1992,5,20
5107,1990-09-05,1990,9,5
5108,1996-04-02,1996,4,2
5109,2004-05-07,2004,5,7
5110,2005-03-18,2005,3,18
5111,1990-12-12,1990,12,12
5112,1990-04-19,1990,4,19
5113,1993-04-01,1993,4,1
5114,1992-06-03,1992,6,3
5115,1990-04-19,1990,4,19
5116,1990-09-19,1990,9,19
5117,1990-12-19,1990,12,19
5118,1990-09-05,1990,9,5
5119,1995-05-24,1995,5,24
5120,1995-09-06,1995,9,6
5121,1995-06-12,1995,6,12
5122,1998-07-14,1998,7,14
5123,2002-07-19,2002,7,19
5124,1990-12-12,1990,12,12
5125,1990-04-19,1990,4,19
5126,1993-04-01,1993,4,1
5127,1992-06-03,1992,6,3
5128,1990-04-19,1990,4,19
5129,1990-09-19,1990,9,19
5130,1990-12-19,1990,12,19
5131,1990-09-05,1990,9,5
5132,1995-05-24,1995,5,24
5133,1995-09-06,1995,9,6
5134,1995-06-12,1995,6,12
5135,1998-07-14,1998,7,14
5136,2002-07-19,2002,7,19
5137,1990-12-12,1990,12,12
5138,1995-06-01,1995,6,1
5139,1995-06-01,1995,6,1
5140,1995-06-01,1995,6,1
5141,1995-11-22,1995,11,22
5142,1988-12-27,1988,12,27
5143,1996-01-31,1996,1,31
5144,1996-04-30,1996,4,30
5145,1987-12-23,1987,12,23
5146,1997-06-24,1997,6,24
5147,1997-06-24,1997,6,24
5148,1987-06-17,1987,6,17
5149,1987-02-04,1987,2,4
5150,2001-02-23,2001,2,23
5151,2001-02-23,2001,2,23
5152,2001-04-27,2001,4,27
5153,2001-06-12,2001,6,12
5154,2001-06-12,2001,6,12
5155,2001-06-12,2001,6,12
5156,2001-06-12,2001,6,12
5157,2001-07-09,2001,7,9
5158,2001-07-09,2001,7,9
5159,2001-07-09,2001,7,9
5160,2001-07-09,2001,7,9
5161,2001-07-10,2001,7,10
5162,2001-11-30,2001,11,30
5163,2001-12-14,2001,12,14
5164,2001-12-14,2001,12,14
5165,2002-03-01,2002,3,1
5166,2002-04-19,2002,4,19
5167,2002-06-10,2002,6,10
5168,2003-01-22,2003,1,22
5169,2003-02-19,2003,2,19
5170,2003-02-26,2003,2,26
5171,2003-04-01,2003,4,1
5172,2003-04-01,2003,4,1
5173,2003-11-07,2003,11,7
5174,2004-04-30,2004,4,30
5175,2004-05-07,2004,5,7
5176,2004-10-01,2004,10,1
5177,2004-11-26,2004,11,26
5178,2005-07-15,2005,7,15
5179,2005-12-07,2005,12,7
5180,2006-03-31,2006,3,31
5181,2006-05-16,2006,5,16
5182,2007-01-19,2007,1,19
5183,2007-03-05,2007,3,5
5184,2007-04-20,2007,4,20
5185,2007-03-23,2007,3,23
5186,2007-05-04,2007,5,4
5187,2007-03-30,2007,3,30
5188,2007-03-02,2007,3,2
5189,2007-05-16,2007,5,16
5190,2007-06-29,2007,6,29
5191,2007-03-30,2007,3,30
5192,2007-07-06,2007,7,6
5193,2007-07-13,2007,7,13
5194,2007-07-19,2007,7,19
5195,2008-03-17,2008,3,17
5196,2008-01-30,2008,1,30
5197,2008-05-28,2008,5,28
5198,2008-05-09,2008,5,9
5199,2008-07-29,2008,7,29
5200,2008-09-10,2008,9,10
5201,2009-02-13,2009,2,13
5202,2009-02-13,2009,2,13
5203,2009-03-27,2009,3,27
5204,2009-03-20,2009,3,20
5205,2009-04-03,2009,4,3
5206,2009-04-21,2009,4,21
5207,2009-04-24,2009,4,24
5208,2009-04-30,2009,4,30
5209,2009-06-05,2009,6,5
5210,2009-05-15,2009,5,15
5211,2009-04-30,2009,4,30
5212,2009-09-25,2009,9,25
5213,2009-10-16,2009,10,16
5214,2010-03-03,2010,3,3
5215,2010-04-02,2010,4,2
