ID,cluster,key_id,rel,key_name
1004771,201,1000068,keyword,mindervaliden
1004771,201,1000165,keyword,kunstonderwijs
1004771,201,1000176,keyword,rationalisatie en programmatie
1004771,201,1000197,keyword,onderwijs voor sociale promotie
1004771,201,1000198,keyword,sociale promotie
1021750,211,1000049,keyword,pedagogische begeleidingsdienst
1004091,212,1000116,keyword,Zeekanaal en Watergebonden Grondbeheer Vlaanderen
1004091,212,1000117,keyword,NV Zeekanaal en Watergebonden Grondbeheer Vlaanderen
1024475,213,1000067,keyword,personen met een handicap
1005144,217,1000131,keyword,secundair onderwijs
1000537,221,1000048,keyword,statuut onderwijspersoneel
1014190,228,1000157,keyword,bestuurlijk beleid
1023756,229,1000098,keyword,pensioen
1016080,230,1000156,keyword,bijzondere jeugdbijstand
1002731,245,1000175,keyword,presentiegeld
1002731,245,1000199,keyword,VIZO
1002731,245,1000200,keyword,Vlaams Instituut voor het Zelfstandig Ondernemen
1016638,249,1000100,keyword,statuut ambtenaar
1000591,252,1000048,keyword,statuut onderwijspersoneel
1014538,256,1000030,keyword,economisch beleid
1014538,256,1000031,keyword,KMO
1014538,256,1000032,keyword,kleine en middelgrote onderneming
1016201,259,1000021,keyword,oppervlaktewater
1035448,265,1000113,keyword,gemeentepersoneel
1035448,265,1000114,keyword,statuut gemeentepersoneel
1026727,270,1000067,keyword,personen met een handicap
1017504,272,1000130,keyword,beroepsonderwijs
1006368,281,1000009,keyword,huisvesting
1019574,285,1000108,keyword,VIPA
1013109,288,1000179,keyword,basisonderwijs
1018938,291,1000131,keyword,secundair onderwijs
1029740,293,1000080,keyword,provincie
1029740,293,1000088,keyword,gemeente
1000981,294,1000041,keyword,onderwijspersoneel
1000981,294,1000042,keyword,personeel onderwijs
1000981,294,1000043,keyword,personeel psycho-medisch-sociaal centrum
1000981,294,1000044,keyword,reaffectatie
1000981,294,1000045,keyword,terbeschikkingstelling ontstentenis van betrekking
1000981,294,1000046,keyword,wachtgeld
1000981,294,1000047,keyword,wedertewerkstelling
1000981,294,1000048,keyword,statuut onderwijspersoneel
1006986,296,1000084,keyword,Vlaams-Brabant
1018441,309,1000165,keyword,kunstonderwijs
1006073,311,1000038,keyword,arbeidsbemiddeling
1013775,312,1000195,keyword,delegatie
